City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Severo-Kurilsk,RU,2021-10-27 15:00:22,50.6789,156.125,43.14,93,100,2.46,overcast clouds
130,Safakulevo,RU,2021-10-27 15:00:23,54.9901,62.5442,33.21,74,100,9.4,overcast clouds
131,Pevek,RU,2021-10-27 15:00:23,69.7008,170.3133,10.35,94,100,13.29,light snow
132,Port Elizabeth,ZA,2021-10-27 15:00:24,-33.918,25.5701,73.09,73,100,30.8,overcast clouds
133,Eyl,SO,2021-10-27 15:00:25,7.9803,49.8164,80.47,72,16,11.23,few clouds
134,Norman Wells,CA,2021-10-27 15:00:26,65.282,-126.8329,24.53,94,100,4.85,overcast clouds
135,Sao Filipe,CV,2021-10-27 15:00:26,14.8961,-24.4956,79.59,74,42,9.1,scattered clouds
136,Lhokseumawe,ID,2021-10-27 15:00:27,5.1801,97.1507,79.39,83,96,3.13,overcast clouds
137,Mount Isa,AU,2021-10-27 15:00:16,-20.7333,139.5,82.17,57,26,5.75,scattered clouds
138,Port Macquarie,AU,2021-10-27 15:00:28,-31.4333,152.9167,71.49,88,90,5.75,overcast clouds
139,Haines Junction,CA,2021-10-27 15:00:28,60.7522,-137.5108,25.5,92,100,0.76,overcast clouds
140,Fort-Shevchenko,KZ,2021-10-27 15:00:29,44.5086,50.263,47.75,50,3,7.18,clear sky
141,Wajima,JP,2021-10-27 15:00:29,37.4,136.9,62.24,71,16,13.13,few clouds
142,Taoudenni,ML,2021-10-27 15:00:30,22.6783,-3.9836,97.3,15,39,6.73,scattered clouds
143,La Peca,PE,2021-10-27 15:00:31,-5.6111,-78.435,74.19,70,96,1.99,overcast clouds
144,Koslan,RU,2021-10-27 15:00:31,63.4564,48.8989,35.1,98,100,8.61,light rain
145,Shizunai,JP,2021-10-27 14:56:49,42.3339,142.3669,54.63,84,100,5.95,light rain
146,Lexington,US,2021-10-27 14:55:53,37.9887,-84.4777,49.12,73,50,1.01,scattered clouds
147,Cherskiy,RU,2021-10-27 15:00:32,68.75,161.3,-19.03,99,10,5.46,clear sky
148,Vrangel,RU,2021-10-27 15:00:32,42.7297,133.0839,48.51,70,84,8.72,broken clouds
149,Camacha,PT,2021-10-27 15:00:33,33.0833,-16.3333,71.02,60,40,14.97,scattered clouds
150,Saint-Leu,RE,2021-10-27 15:00:33,-21.15,55.2833,76.06,94,63,2.68,broken clouds
151,Srandakan,ID,2021-10-27 15:00:34,-7.9386,110.2506,77.65,91,100,6.13,moderate rain
152,Saint-Philippe,RE,2021-10-27 15:00:34,-21.3585,55.7679,76.59,77,63,10.0,broken clouds
153,Zhovti Vody,UA,2021-10-27 15:00:35,48.3473,33.5003,49.73,64,31,4.97,scattered clouds
154,Sao Joao Da Barra,BR,2021-10-27 15:00:35,-21.6403,-41.0511,77.67,79,73,13.29,broken clouds
155,Villaviciosa,ES,2021-10-27 15:00:36,43.4813,-5.4357,79.39,54,6,3.6,clear sky
156,Tabas,IR,2021-10-27 15:00:36,33.5959,56.9244,65.89,21,7,11.14,clear sky
157,Saint George,US,2021-10-27 15:00:12,37.1041,-113.5841,52.36,71,1,3.44,clear sky
158,Cape Town,ZA,2021-10-27 14:56:33,-33.9258,18.4232,75.11,58,20,3.0,light rain
159,Hilo,US,2021-10-27 15:00:37,19.7297,-155.09,72.39,79,31,1.32,scattered clouds
160,Sidi Ali,DZ,2021-10-27 15:00:37,36.0998,0.4206,67.05,61,100,13.29,overcast clouds
161,Yalvac,TR,2021-10-27 15:00:38,38.2956,31.1778,54.09,42,9,3.98,clear sky
162,Qui Nhon,VN,2021-10-27 15:00:38,13.7667,109.2333,78.8,88,100,7.72,heavy intensity rain
163,Leticia,CO,2021-10-27 15:00:39,-4.2153,-69.9406,80.58,78,75,4.61,broken clouds
164,Katobu,ID,2021-10-27 15:00:39,-4.9408,122.5276,77.65,86,61,3.94,broken clouds
165,Gravdal,NO,2021-10-27 15:00:40,68.1214,13.5031,40.68,73,100,13.56,overcast clouds
166,Jumla,NP,2021-10-27 15:00:40,29.2747,82.1838,43.36,87,14,4.03,few clouds
167,Tuy Hoa,VN,2021-10-27 15:00:40,13.0833,109.3,77.38,92,97,6.85,overcast clouds
168,Nishihara,JP,2021-10-27 15:00:41,26.1842,127.7558,72.68,64,20,8.05,few clouds
169,Ewa Beach,US,2021-10-27 15:00:23,21.3156,-158.0072,74.08,93,47,5.68,scattered clouds
170,Fairbanks,US,2021-10-27 15:00:05,64.8378,-147.7164,27.23,90,90,4.61,light snow
171,Batagay,RU,2021-10-27 15:00:42,67.6333,134.6333,11.84,95,100,3.91,overcast clouds
172,Buala,SB,2021-10-27 15:00:42,-8.145,159.5921,80.1,83,31,6.6,light rain
173,Stryn,NO,2021-10-27 15:00:43,61.9045,6.7226,54.32,100,100,9.35,overcast clouds
174,Castro,BR,2021-10-27 15:00:43,-24.7911,-50.0119,69.49,72,74,7.2,broken clouds
175,Busselton,AU,2021-10-27 15:00:44,-33.65,115.3333,50.04,80,16,8.12,few clouds
176,Mar Del Plata,AR,2021-10-27 15:00:44,-38.0023,-57.5575,72.82,50,0,7.96,clear sky
177,Platanos,GR,2021-10-27 15:00:45,37.6667,21.6167,68.65,62,100,1.59,overcast clouds
178,Mabaruma,GY,2021-10-27 15:00:45,8.2,-59.7833,80.96,89,71,4.76,broken clouds
179,Abha,SA,2021-10-27 15:00:46,18.2164,42.5053,62.65,64,62,5.84,broken clouds
180,Gazanjyk,TM,2021-10-27 15:00:46,39.2446,55.5154,49.44,64,97,9.28,overcast clouds
181,Ancud,CL,2021-10-27 15:00:46,-41.8697,-73.8203,56.23,73,90,6.13,overcast clouds
182,Dicabisagan,PH,2021-10-27 15:00:47,17.0818,122.4157,76.68,88,48,7.4,scattered clouds
183,Luanda,AO,2021-10-27 14:59:43,-8.8368,13.2343,80.6,74,40,11.5,scattered clouds
184,Royan,FR,2021-10-27 15:00:47,45.6285,-1.0281,68.47,44,15,2.26,few clouds
185,Nome,US,2021-10-27 15:00:48,64.5011,-165.4064,14.9,90,22,6.17,few clouds
186,Micheweni,TZ,2021-10-27 15:00:48,-4.9667,39.8333,80.04,72,4,10.98,clear sky
187,Togul,RU,2021-10-27 15:00:48,53.465,85.9128,30.52,50,100,1.74,overcast clouds
188,Coquimbo,CL,2021-10-27 15:00:49,-29.9533,-71.3436,61.32,77,56,5.97,broken clouds
189,Tampakan,PH,2021-10-27 15:00:49,6.4442,124.9264,74.86,98,99,2.15,overcast clouds
190,Quatre Cocos,MU,2021-10-27 15:00:49,-20.2078,57.7625,74.08,65,0,10.04,clear sky
191,Belyy Yar,RU,2021-10-27 15:00:50,53.6039,91.3903,35.49,48,0,4.47,clear sky
192,Souillac,MU,2021-10-27 15:00:50,-20.5167,57.5167,74.35,68,20,9.22,few clouds
193,East London,ZA,2021-10-27 15:00:51,-33.0153,27.9116,67.57,80,100,27.89,overcast clouds
194,Sitka,US,2021-10-27 14:56:24,57.0531,-135.33,43.11,90,100,6.42,light rain
195,Douentza,ML,2021-10-27 15:00:51,14.9951,-2.9517,101.43,9,4,13.2,clear sky
196,Codrington,AU,2021-10-27 15:00:51,-38.2667,141.9667,56.01,97,53,7.27,broken clouds
197,Victoria,HK,2021-10-27 15:00:52,22.2855,114.1577,78.85,80,93,3.0,light rain
198,Hasaki,JP,2021-10-27 15:00:52,35.7333,140.8333,57.6,90,98,7.4,overcast clouds
199,Jalu,LY,2021-10-27 15:00:53,29.0331,21.5482,82.08,31,58,9.01,broken clouds
200,Phetchaburi,TH,2021-10-27 15:00:53,12.9667,99.5833,73.76,92,99,3.83,overcast clouds
201,Dingle,PH,2021-10-27 15:00:54,10.9995,122.6711,76.24,92,100,5.14,overcast clouds
202,Akureyri,IS,2021-10-27 15:00:54,65.6835,-18.0878,37.6,100,100,6.85,overcast clouds
203,Isawa,JP,2021-10-27 15:00:54,35.65,138.6333,55.38,95,14,1.72,few clouds
204,Salalah,OM,2021-10-27 15:00:27,17.0151,54.0924,79.79,63,5,2.42,clear sky
205,Dharchula,IN,2021-10-27 15:00:55,29.85,80.5333,55.98,60,1,7.34,clear sky
206,Kruisfontein,ZA,2021-10-27 15:00:55,-34.0033,24.7314,70.88,66,100,23.4,overcast clouds
207,Emba,KZ,2021-10-27 15:00:56,48.8264,58.1442,38.73,41,1,5.55,clear sky
208,Hauterive,FR,2021-10-27 15:00:56,46.0901,3.4459,63.01,59,1,1.83,clear sky
209,Saldanha,ZA,2021-10-27 15:00:57,-33.0117,17.9442,63.86,85,100,16.64,overcast clouds
210,Half Moon Bay,US,2021-10-27 15:00:24,37.4636,-122.4286,59.14,92,1,0.0,clear sky
211,Kahului,US,2021-10-27 15:00:57,20.8947,-156.47,75.85,80,24,4.0,few clouds
212,Vila Velha,BR,2021-10-27 15:00:31,-20.3297,-40.2925,80.4,67,97,12.75,overcast clouds
213,Develi,TR,2021-10-27 15:00:58,38.3906,35.4922,60.15,43,81,1.77,broken clouds
214,Nanpara,IN,2021-10-27 15:00:58,27.8667,81.5,71.28,69,0,4.7,clear sky
215,Villa Bruzual,VE,2021-10-27 15:00:59,9.3328,-69.1208,76.21,91,100,6.22,overcast clouds
216,Toppenish,US,2021-10-27 15:00:59,46.3774,-120.3087,48.45,65,98,5.88,overcast clouds
217,Mindelo,CV,2021-10-27 15:01:00,16.8901,-24.9804,76.69,76,45,17.52,scattered clouds
218,Milkovo,RU,2021-10-27 15:01:00,54.7167,158.6167,29.41,95,100,0.63,overcast clouds
219,Yeniseysk,RU,2021-10-27 15:01:01,58.4497,92.1703,27.59,63,80,10.92,broken clouds
220,Narsaq,GL,2021-10-27 15:01:02,60.9167,-46.05,35.82,61,0,4.41,clear sky
221,Mana,GF,2021-10-27 15:01:02,5.6592,-53.7767,85.68,66,11,9.89,few clouds
222,Tura,IN,2021-10-27 15:01:03,25.5198,90.2201,68.36,94,0,3.6,clear sky
223,Anadyr,RU,2021-10-27 15:01:04,64.75,177.4833,-7.01,76,95,4.0,overcast clouds
224,Axim,GH,2021-10-27 15:01:05,4.8699,-2.2405,82.98,70,69,9.57,broken clouds
225,Nagato,JP,2021-10-27 15:01:05,34.3833,131.2,56.19,60,0,3.74,clear sky
226,Thompson,CA,2021-10-27 15:01:06,55.7435,-97.8558,39.36,100,90,5.75,light intensity drizzle
227,Qaanaaq,GL,2021-10-27 15:01:06,77.484,-69.3632,20.17,94,100,10.38,overcast clouds
228,Kudat,MY,2021-10-27 15:01:06,6.8837,116.8477,80.58,82,89,7.14,overcast clouds
229,Dongsheng,CN,2021-10-27 15:01:07,39.8161,109.9776,43.18,49,100,2.89,overcast clouds
230,Plainview,US,2021-10-27 15:01:07,40.7765,-73.4673,60.87,73,90,1.01,overcast clouds
231,Manono,CD,2021-10-27 15:01:08,-7.3,27.4167,81.95,56,49,15.32,scattered clouds
232,Mahebourg,MU,2021-10-27 15:01:08,-20.4081,57.7,74.25,68,20,9.22,few clouds
233,Ayan,RU,2021-10-27 15:01:08,56.45,138.1667,35.53,83,99,6.13,overcast clouds
234,Laguna,US,2021-10-27 15:01:09,38.421,-121.4238,58.96,92,90,1.01,overcast clouds
235,Elko,US,2021-10-27 15:01:09,41.0002,-115.5012,43.65,77,56,18.01,broken clouds
236,Merauke,ID,2021-10-27 15:01:09,-8.4667,140.3333,80.76,80,100,12.55,overcast clouds
237,Kovernino,RU,2021-10-27 15:01:10,57.1253,43.8142,40.17,78,100,13.73,light rain
238,Goderich,CA,2021-10-27 15:01:10,43.7501,-81.7165,50.92,86,97,6.24,overcast clouds
239,Pedernales,DO,2021-10-27 15:01:11,18.0384,-71.744,84.09,58,19,4.45,few clouds
240,Mehamn,NO,2021-10-27 15:01:11,71.0357,27.8492,31.91,65,89,15.84,overcast clouds
241,Severo-Yeniseyskiy,RU,2021-10-27 15:01:11,60.3725,93.0408,18.75,82,100,15.64,overcast clouds
242,Toora-Khem,RU,2021-10-27 15:01:12,52.4675,96.11,36.5,80,100,3.78,overcast clouds
243,Sirsi,IN,2021-10-27 15:01:12,14.6167,74.85,67.6,70,12,5.91,few clouds
244,Nuevo Laredo,MX,2021-10-27 15:01:13,27.4763,-99.5164,84.18,20,0,23.35,clear sky
245,Kaura Namoda,NG,2021-10-27 15:01:13,12.5898,6.5779,98.01,14,50,8.95,scattered clouds
246,Nuuk,GL,2021-10-27 15:01:13,64.1835,-51.7216,30.81,69,75,5.75,broken clouds
247,Paracuru,BR,2021-10-27 15:01:14,-3.41,-39.0306,88.77,49,37,16.96,scattered clouds
248,Skibbereen,IE,2021-10-27 15:01:14,51.55,-9.2667,60.6,96,100,26.8,overcast clouds
249,Khatanga,RU,2021-10-27 15:01:15,71.9667,102.5,7.34,90,100,10.33,overcast clouds
250,Adrar,MR,2021-10-27 15:01:15,20.5022,-10.0711,87.82,23,25,18.72,scattered clouds
251,Tokur,RU,2021-10-27 15:01:15,53.1333,132.9,18.27,97,41,0.94,scattered clouds
252,Comodoro Rivadavia,AR,2021-10-27 15:01:16,-45.8667,-67.5,70.03,35,83,35.57,broken clouds
253,Bilibino,RU,2021-10-27 15:01:16,68.0546,166.4372,-22.47,100,84,2.91,broken clouds
254,Kroonstad,ZA,2021-10-27 15:01:17,-27.6504,27.2349,64.76,54,100,10.49,light rain
255,Cavalcante,BR,2021-10-27 15:01:17,-13.7975,-47.4583,87.49,39,23,8.99,few clouds
256,Srednekolymsk,RU,2021-10-27 15:01:17,67.45,153.6833,-9.38,99,74,3.06,broken clouds
257,Taksimo,RU,2021-10-27 15:01:18,56.3444,114.8794,29.68,84,100,1.45,overcast clouds
258,Constitucion,CL,2021-10-27 15:01:18,-35.3333,-72.4167,63.55,63,3,4.88,clear sky
259,Antalaha,MG,2021-10-27 15:01:18,-14.9003,50.2788,75.07,80,15,8.21,few clouds
260,Vardo,NO,2021-10-27 15:01:19,70.3705,31.1107,34.0,86,40,26.46,scattered clouds
261,Isangel,VU,2021-10-27 15:01:19,-19.55,169.2667,75.99,88,100,6.15,overcast clouds
