City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Albany,US,2021-10-25 17:49:02,42.6001,-73.9662,63.16,91,100,4.54
113,Chakia,IN,2021-10-25 17:49:47,26.4167,85.05,72.16,64,0,6.29
114,Ostrovnoy,RU,2021-10-25 17:43:16,68.0531,39.5131,20.41,90,16,7.49
115,Hithadhoo,MV,2021-10-25 17:48:30,-0.6,73.0833,82.85,74,94,13.82
116,Kefar Shemaryahu,IL,2021-10-25 17:49:48,32.1856,34.8219,73.38,78,5,7.38
117,Bathsheba,BB,2021-10-25 17:44:11,13.2167,-59.5167,86.61,66,20,27.63
118,Rawson,AR,2021-10-25 17:43:43,-43.3002,-65.1023,66.79,25,37,16.35
119,Barcelos,PT,2021-10-25 17:49:48,41.5388,-8.6151,64.85,83,39,6.64
120,Elko,US,2021-10-25 17:49:36,41.0002,-115.5012,38.73,89,100,8.99
121,Bandundu,CD,2021-10-25 17:49:49,-3.3167,17.3667,73.38,93,99,1.97
122,Kieta,PG,2021-10-25 17:49:49,-6.2167,155.6333,77.88,83,37,2.51
123,Ingham,US,2021-10-25 17:49:49,42.6,-84.3833,48.0,94,90,10.36
124,Mayo,US,2021-10-25 17:49:50,38.8876,-76.5119,80.28,64,1,4.0
125,Caravelas,BR,2021-10-25 17:43:25,-17.7125,-39.2481,74.91,94,100,9.04
126,Immokalee,US,2021-10-25 17:49:50,26.4187,-81.4173,87.94,71,40,8.05
127,Kapuskasing,CA,2021-10-25 17:49:51,49.4169,-82.4331,37.49,93,75,10.36
128,Aitape,PG,2021-10-25 17:49:51,-3.1374,142.3475,76.96,89,86,2.8
129,Rameshki,RU,2021-10-25 17:49:51,57.3439,36.0453,33.46,86,89,11.07
130,East London,ZA,2021-10-25 17:40:16,-33.0153,27.9116,65.34,72,20,12.66
131,Juba,SS,2021-10-25 17:49:52,4.8517,31.5825,82.38,46,78,2.19
132,Sao Joao Da Barra,BR,2021-10-25 17:42:52,-21.6403,-41.0511,75.29,77,83,12.08
133,Nishihara,JP,2021-10-25 17:44:20,26.1842,127.7558,71.26,73,20,6.91
134,Ponta Do Sol,PT,2021-10-25 17:42:45,32.6667,-17.1,73.71,68,78,4.99
135,Kushima,JP,2021-10-25 17:49:53,31.4583,131.2333,55.74,89,1,2.93
136,Lukovetskiy,RU,2021-10-25 17:49:53,64.2956,41.9211,26.58,97,100,3.02
137,Fort Collins,US,2021-10-25 17:45:48,40.5853,-105.0844,73.96,45,1,5.75
138,Bianzhuang,CN,2021-10-25 17:49:54,34.8486,118.0447,55.29,70,94,3.76
139,Alpena,US,2021-10-25 17:49:54,45.0617,-83.4327,51.19,77,90,8.01
140,Honiara,SB,2021-10-25 17:42:08,-9.4333,159.95,77.34,88,68,3.76
141,Holme,DK,2021-10-25 17:49:55,56.1138,10.1725,51.66,93,99,13.11
142,Neosho,US,2021-10-25 17:49:30,36.869,-94.368,58.6,77,24,7.07
143,Port Hedland,AU,2021-10-25 17:43:24,-20.3167,118.5667,73.45,83,0,10.36
144,Castro,BR,2021-10-25 17:41:34,-24.7911,-50.0119,69.03,65,89,3.18
145,Sinnamary,GF,2021-10-25 17:42:17,5.3833,-52.95,79.14,89,67,10.87
146,Torbay,CA,2021-10-25 17:44:10,47.6666,-52.7314,43.39,87,90,20.71
147,Sobolevo,RU,2021-10-25 17:49:56,54.4299,31.8996,34.3,80,16,10.42
148,Terekli-Mekteb,RU,2021-10-25 17:49:56,44.1671,45.8698,44.98,76,100,15.7
149,Chokurdakh,RU,2021-10-25 17:41:56,70.6333,147.9167,-20.49,100,95,0.29
150,Sambava,MG,2021-10-25 17:49:57,-14.2667,50.1667,75.34,80,20,10.0
151,Ust-Nera,RU,2021-10-25 17:42:39,64.5667,143.2,5.81,99,100,2.8
152,Katsuura,JP,2021-10-25 17:49:57,35.1333,140.3,59.02,96,100,28.23
153,Avera,US,2021-10-25 17:42:34,33.194,-82.5271,80.47,60,73,6.44
154,Sitka,US,2021-10-25 17:42:34,57.0531,-135.33,40.89,81,75,5.75
155,Butaritari,KI,2021-10-25 17:41:36,3.0707,172.7902,81.57,73,6,5.84
156,Coihaique,CL,2021-10-25 17:49:58,-45.5752,-72.0662,50.61,66,90,11.5
157,Drochia,MD,2021-10-25 17:49:58,48.035,27.8161,40.66,45,0,6.08
158,Vestmannaeyjar,IS,2021-10-25 17:44:27,63.4427,-20.2734,45.59,93,40,9.22
159,Nikolskoye,RU,2021-10-25 17:41:52,59.7035,30.7861,47.88,83,100,11.72
160,Comodoro Rivadavia,AR,2021-10-25 17:44:24,-45.8667,-67.5,64.26,24,75,39.12
161,Padang,ID,2021-10-25 17:42:22,-0.9492,100.3543,75.25,89,100,2.53
162,Masuguru,TZ,2021-10-25 17:50:00,-11.3667,38.4167,85.05,53,49,10.47
163,Zaozerne,UA,2021-10-25 17:43:12,45.1582,33.2787,46.94,53,25,10.74
164,Glen Avon,US,2021-10-25 17:50:00,34.0117,-117.4848,67.14,83,90,1.01
165,Port Lincoln,AU,2021-10-25 17:42:57,-34.7333,135.8667,57.74,79,9,12.97
166,Cortez,US,2021-10-25 17:50:01,37.3489,-108.5859,65.93,31,1,14.97
167,Haines Junction,CA,2021-10-25 17:43:05,60.7522,-137.5108,10.35,85,100,1.14
168,Neyshabur,IR,2021-10-25 17:50:02,36.2133,58.7958,56.41,24,0,2.15
169,Jega,NG,2021-10-25 17:50:03,12.2175,4.3792,86.47,21,37,3.67
170,Mackay,AU,2021-10-25 17:39:22,-21.15,149.2,76.68,88,97,4.61
171,Sulangan,PH,2021-10-25 17:50:04,11.1373,123.7228,82.29,79,95,9.53
172,Khasan,RU,2021-10-25 17:50:04,42.4308,130.6434,47.39,77,15,3.53
173,Kaitangata,NZ,2021-10-25 17:41:37,-46.2817,169.8464,51.51,87,98,6.11
174,Acajutla,SV,2021-10-25 17:50:05,13.5928,-89.8275,85.03,71,11,7.36
175,Meulaboh,ID,2021-10-25 17:41:54,4.1363,96.1285,75.27,93,99,3.76
176,Sao Felix Do Xingu,BR,2021-10-25 17:43:10,-6.6447,-51.995,89.04,54,96,2.06
177,Belmonte,BR,2021-10-25 17:50:06,-15.8631,-38.8828,84.2,75,91,9.19
178,Deputatskiy,RU,2021-10-25 17:42:38,69.3,139.9,-2.38,99,99,1.07
179,Punta Gorda,US,2021-10-25 17:50:07,26.9298,-82.0454,88.0,78,75,1.01
180,Half Moon Bay,US,2021-10-25 17:50:08,37.4636,-122.4286,62.04,80,1,8.05
181,Rio Abajo,HN,2021-10-25 17:50:08,14.1667,-87.2167,79.03,61,75,6.91
182,Sioux Lookout,CA,2021-10-25 17:50:09,50.1001,-91.917,35.98,87,90,4.61
183,Saint George,US,2021-10-25 17:39:57,37.1041,-113.5841,77.25,29,1,1.01
184,Asau,RO,2021-10-25 17:43:29,46.4333,26.4,40.75,68,0,1.7
185,Mercedes,AR,2021-10-25 17:50:09,-34.6515,-59.4307,88.03,13,20,16.53
186,Ploemeur,FR,2021-10-25 17:50:09,47.7333,-3.4333,56.95,91,40,8.05
187,Palmer,US,2021-10-25 17:43:29,42.1584,-72.3287,55.92,85,90,1.01
188,Zarubino,RU,2021-10-25 17:50:10,42.63,131.0922,48.42,80,6,3.36
189,Dunedin,NZ,2021-10-25 17:41:18,-45.8742,170.5036,55.8,95,94,7.0
190,Santa Isabel Do Rio Negro,BR,2021-10-25 17:50:11,-0.4139,-65.0192,87.04,66,91,1.48
191,Skibbereen,IE,2021-10-25 17:50:11,51.55,-9.2667,51.6,83,100,10.31
192,San Luis,AR,2021-10-25 17:50:11,-33.295,-66.3356,92.28,10,0,7.7
193,Jumla,NP,2021-10-25 17:50:12,29.2747,82.1838,44.47,86,5,3.58
